City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,fereydunshahr,32.941,50.121,-3.95,87,98,1.76,IR,1706671835
111,hamilton,39.1834,-84.5333,3.02,95,100,2.68,US,1706671761
112,ilulissat,69.2167,-51.1,-22.99,45,18,2.06,GL,1706671836
113,lanzhou,36.0564,103.7922,0.79,59,100,1.44,CN,1706671837
114,borogontsy,62.6683,131.1683,-32.75,93,33,0.42,RU,1706671837
115,al jawf,29.5,38.75,5.95,57,0,3.67,SA,1706671592
116,tolanaro,-25.0319,46.9987,23.04,88,75,4.12,MG,1706671838
117,swift current,50.2834,-107.8014,3.45,81,0,4.63,CA,1706671839
118,fisterra,42.9049,-9.2629,10.01,78,100,2.12,ES,1706671840
119,santyoku,37.4406,129.1708,10.16,35,6,0.68,KR,1706671840
120,sandnessjoen,66.0217,12.6316,3.29,98,100,16.95,NO,1706671756
121,san andres,12.5847,-81.7006,27.01,83,20,4.12,CO,1706671841
122,kingston,17.997,-76.7936,25.53,86,20,6.17,JM,1706671842
123,brak,27.5496,14.2714,6.7,74,0,4.17,LY,1706671842
124,severo-yeniseyskiy,60.3725,93.0408,-29.12,94,20,1.79,RU,1706671843
125,tazacorte,28.629,-17.9293,18.42,30,0,4.47,ES,1706671843
126,viedma,-40.8135,-62.9967,23.39,66,2,3.45,AR,1706671628
127,namibe,-15.1961,12.1522,24.16,81,15,1.51,AO,1706671845
128,stewartville,43.8555,-92.4885,1.71,87,100,3.6,US,1706671845
129,bazarak,35.3129,69.5152,-2.6,71,78,4.41,AF,1706671845
130,dudinka,69.4058,86.1778,-17.99,84,100,9.39,RU,1706671846
131,cabo san lucas,22.8909,-109.9124,24.73,75,75,0.0,MX,1706671298
132,soio,-6.1349,12.3689,24.99,92,100,3.33,AO,1706671848
133,griffith,41.5284,-87.4237,3.96,88,100,6.17,US,1706671848
134,thompson,55.7435,-97.8558,1.09,93,100,1.03,CA,1706671849
135,iwon-up,40.3231,128.6553,3.71,54,0,1.49,KP,1706671849
136,qaqortoq,60.7167,-46.0333,-13.2,94,100,5.77,GL,1706671850
137,waddan,29.1614,16.139,7.18,86,5,2.87,LY,1706671601
138,la ronge,55.1001,-105.2842,6.14,52,0,4.12,CA,1706671851
139,ceerigaabo,10.6162,47.368,14.6,68,59,1.5,SO,1706671845
140,portage la prairie,49.9728,-98.2926,3.95,58,26,5.68,CA,1706671777
141,kapuskasing,49.4169,-82.4331,1.05,86,100,5.14,CA,1706671852
142,maroua,10.591,14.3159,19.83,24,6,3.56,CM,1706671853
143,soro,21.2881,86.6858,24.41,60,20,3.94,IN,1706671853
144,mejit,10.2753,170.8646,26.22,83,100,8.79,MH,1706671854
145,udachny,66.4167,112.4,-25.31,75,97,1.31,RU,1706671854
146,ilebo,-4.3167,20.5833,21.72,99,100,0.61,CD,1706671855
147,inverurie,57.2845,-2.3774,7.58,74,100,6.17,GB,1706671855
148,zabaykal'sk,49.6333,117.3167,-25.91,89,19,3.43,RU,1706671856
149,vernon,50.2581,-119.2691,6.45,93,100,0.0,CA,1706671808
150,keflavik,64.0049,-22.5624,-0.76,69,40,8.23,IS,1706671857
151,saint-pierre,-21.3393,55.4781,25.82,78,0,1.54,RE,1706671857
152,jamestown,42.097,-79.2353,1.77,91,100,2.57,US,1706671603
153,vorgashor,67.5833,63.95,-13.26,95,100,4.5,RU,1706671859
154,erenhot,43.6475,111.9767,-18.65,83,6,2.23,CN,1706671859
155,berck,50.4,1.6,6.99,87,100,2.57,FR,1706671585
156,new norfolk,-42.7826,147.0587,20.72,29,85,2.76,AU,1706671860
157,velikiye luki,56.34,30.5452,-2.08,94,100,2.73,RU,1706671861
158,ndele,8.4109,20.6473,20.62,25,100,2.24,CF,1706671861
159,khilok,51.3674,110.4676,-18.56,72,7,0.91,RU,1706671862
160,karratha,-20.7377,116.8463,31.91,52,44,5.37,AU,1706671863
161,xining,36.6167,101.7667,-2.13,36,100,0.85,CN,1706671863
162,estevan,49.1334,-102.9842,5.11,75,0,6.17,CA,1706671864
163,conway,35.0887,-92.4421,11.89,68,20,0.0,US,1706671864
164,yellowknife,62.456,-114.3525,-11.71,92,100,3.6,CA,1706671806
165,port alfred,-33.5906,26.891,20.66,94,100,0.45,ZA,1706671592
166,tallulah,32.4085,-91.1868,14.0,72,0,0.0,US,1706671866
167,college,64.8569,-147.8028,-27.01,71,75,1.54,US,1706671867
168,kapa'a,22.0752,-159.319,24.18,74,75,2.06,US,1706671867
169,lospalos,-8.5186,127.0025,30.53,59,100,1.61,TL,1706671868
170,kolonia town,6.964,158.206,30.06,66,100,6.17,FM,1706671868
171,suarez,2.954,-76.6964,20.81,96,97,1.04,CO,1706671869
172,teguise,29.0605,-13.564,17.12,42,0,3.6,ES,1706671870
173,lazaro cardenas,17.9583,-102.2,25.23,75,100,1.45,MX,1706671870
174,kodiak,57.79,-152.4072,-11.27,48,0,0.0,US,1706671871
175,pemangkat,1.1667,108.9667,28.42,75,100,2.54,ID,1706671871
176,luderitz,-26.6481,15.1594,18.21,85,0,4.34,NA,1706671872
177,poronaysk,49.2167,143.1167,-13.69,83,65,1.11,RU,1706671872
178,geraldton,-28.7667,114.6,43.23,13,0,7.72,AU,1706671839
